date,portfolio_value,daily_return,reward,model,reward_type
2022-01-03,100000.0,0.0,0.0,policy_gradient,portfolio_return
2022-01-04,100869.47829200252,0.008694782920025327,0.008694782920025327,policy_gradient,portfolio_return
2022-01-05,99198.74300654362,-0.01656333822429783,-0.01656333822429783,policy_gradient,portfolio_return
2022-01-06,98962.58487143152,-0.002380656528042104,-0.002380656528042104,policy_gradient,portfolio_return
2022-01-07,99398.66994102251,0.004406565068581608,0.004406565068581608,policy_gradient,portfolio_return
2022-01-10,99300.10196281604,-0.0009916428284699958,-0.0009916428284699958,policy_gradient,portfolio_return
2022-01-11,101166.89761254734,0.01879953406724934,0.01879953406724934,policy_gradient,portfolio_return
2022-01-12,101375.1900400821,0.002058899031701947,0.002058899031701947,policy_gradient,portfolio_return
2022-01-13,100083.06622840646,-0.012745956985774909,-0.012745956985774909,policy_gradient,portfolio_return
2022-01-14,99446.39608815088,-0.006361417213203557,-0.006361417213203557,policy_gradient,portfolio_return
2022-01-18,97835.02876186422,-0.016203375785064353,-0.016203375785064353,policy_gradient,portfolio_return
2022-01-19,96337.76059487597,-0.015304009064408517,-0.015304009064408517,policy_gradient,portfolio_return
2022-01-20,95634.04416906122,-0.00730467909435907,-0.00730467909435907,policy_gradient,portfolio_return
2022-01-21,94272.27860313373,-0.014239338906552754,-0.014239338906552754,policy_gradient,portfolio_return
2022-01-24,94161.83672839774,-0.0011715201581254061,-0.0011715201581254061,policy_gradient,portfolio_return
2022-01-25,94348.50379122952,0.001982406772397643,0.001982406772397643,policy_gradient,portfolio_return
2022-01-26,94304.74062620162,-0.0004638458827576537,-0.0004638458827576537,policy_gradient,portfolio_return
2022-01-27,94048.17084595437,-0.0027206456276065976,-0.0027206456276065976,policy_gradient,portfolio_return
2022-01-28,98049.69814841877,0.042547635604935574,0.042547635604935574,policy_gradient,portfolio_return
2022-01-31,99995.26883841128,0.01984269943439797,0.01984269943439797,policy_gradient,portfolio_return
2022-02-01,101661.68156967114,0.01666491575669154,0.01666491575669154,policy_gradient,portfolio_return
2022-02-02,101845.78573247945,0.0018109494154111303,0.0018109494154111303,policy_gradient,portfolio_return
2022-02-03,100434.55118830474,-0.013856582616796863,-0.013856582616796863,policy_gradient,portfolio_return
2022-02-04,101352.11556495835,0.009135943415859462,0.009135943415859462,policy_gradient,portfolio_return
2022-02-07,101435.24791393189,0.0008202329917846192,0.0008202329917846192,policy_gradient,portfolio_return
2022-02-08,102363.12488352318,0.009147480670413446,0.009147480670413446,policy_gradient,portfolio_return
2022-02-09,102838.78638082741,0.004646805163924739,0.004646805163924739,policy_gradient,portfolio_return
2022-02-10,101140.48621582428,-0.016514198822942923,-0.016514198822942923,policy_gradient,portfolio_return
2022-02-11,100223.08502544065,-0.009070563378803437,-0.009070563378803437,policy_gradient,portfolio_return
2022-02-14,99782.17515551354,-0.004399284554204234,-0.004399284554204234,policy_gradient,portfolio_return
2022-02-15,101134.9696434465,0.013557476431282215,0.013557476431282215,policy_gradient,portfolio_return
2022-02-16,101191.7742603563,0.0005616713695575561,0.0005616713695575561,policy_gradient,portfolio_return
2022-02-17,99425.0146359431,-0.01745951820023931,-0.01745951820023931,policy_gradient,portfolio_return
2022-02-18,98758.103169447,-0.006707682859671382,-0.006707682859671382,policy_gradient,portfolio_return
2022-02-22,97653.00161379066,-0.011189983608334675,-0.011189983608334675,policy_gradient,portfolio_return
2022-02-23,95848.51157207425,-0.01847859268937798,-0.01847859268937798,policy_gradient,portfolio_return
2022-02-24,95947.31324711091,0.0010308107389061395,0.0010308107389061395,policy_gradient,portfolio_return
2022-02-25,97692.39977665474,0.018187966608813548,0.018187966608813548,policy_gradient,portfolio_return
2022-02-28,97067.19021497927,-0.006399776882386286,-0.006399776882386286,policy_gradient,portfolio_return
2022-03-01,95837.49437595216,-0.01266850144012256,-0.01266850144012256,policy_gradient,portfolio_return
2022-03-02,97744.44281538193,0.01989772846052484,0.01989772846052484,policy_gradient,portfolio_return
2022-03-03,97616.818963193,-0.0013056890858744196,-0.0013056890858744196,policy_gradient,portfolio_return
2022-03-04,96778.24937407044,-0.00859042117976365,-0.00859042117976365,policy_gradient,portfolio_return
2022-03-07,95402.87134466882,-0.014211644024324739,-0.014211644024324739,policy_gradient,portfolio_return
2022-03-08,94771.89584917716,-0.006613799842691143,-0.006613799842691143,policy_gradient,portfolio_return
2022-03-09,96345.60139635524,0.016605192215237805,0.016605192215237805,policy_gradient,portfolio_return
2022-03-10,95228.6910771724,-0.011592748428524282,-0.011592748428524282,policy_gradient,portfolio_return
2022-03-11,93358.3501913906,-0.019640518677990708,-0.019640518677990708,policy_gradient,portfolio_return
2022-03-14,91417.86276743836,-0.020785365422311994,-0.020785365422311994,policy_gradient,portfolio_return
2022-03-15,92222.03966704321,0.008796715163322286,0.008796715163322286,policy_gradient,portfolio_return
2022-03-16,94563.66139034262,0.025391129189438408,0.025391129189438408,policy_gradient,portfolio_return
2022-03-17,95702.78187041699,0.012046069952518825,0.012046069952518825,policy_gradient,portfolio_return
2022-03-18,96741.71251968223,0.010855804073406885,0.010855804073406885,policy_gradient,portfolio_return
2022-03-21,98114.60115109131,0.014191278980406383,0.014191278980406383,policy_gradient,portfolio_return
2022-03-22,99640.50844537978,0.015552295747894343,0.015552295747894343,policy_gradient,portfolio_return
2022-03-23,100021.63676440697,0.0038250338639742184,0.0038250338639742184,policy_gradient,portfolio_return
2022-03-24,101530.19377144068,0.015082306747159114,0.015082306747159114,policy_gradient,portfolio_return
2022-03-25,102406.43958361965,0.008630396334626578,0.008630396334626578,policy_gradient,portfolio_return
2022-03-28,101934.17925758661,-0.004611627237048978,-0.004611627237048978,policy_gradient,portfolio_return
2022-03-29,102990.62330242261,0.010363982449560728,0.010363982449560728,policy_gradient,portfolio_return
2022-03-30,102870.77168357644,-0.0011637138897026755,-0.0011637138897026755,policy_gradient,portfolio_return
2022-03-31,100852.93587363522,-0.019615249083072408,-0.019615249083072408,policy_gradient,portfolio_return
