date,AAPL,JPM,XOM
2022-01-03,0.3333333333333333,0.3333333333333333,0.3333333333333333
2022-01-04,0.3194389045238495,0.23916387557983398,0.44139721989631653
2022-01-05,0.3255550265312195,0.23306454718112946,0.44138047099113464
2022-01-06,0.33472883701324463,0.2405441701412201,0.4247269928455353
2022-01-07,0.3478105068206787,0.23980583250522614,0.41238367557525635
2022-01-10,0.35907402634620667,0.23444414138793945,0.40648189187049866
2022-01-11,0.3764360845088959,0.23349212110042572,0.3900717794895172
2022-01-12,0.34995245933532715,0.2347213625907898,0.41532620787620544
2022-01-13,0.3350996673107147,0.23317110538482666,0.431729257106781
2022-01-14,0.3703230619430542,0.2340703159570694,0.39560654759407043
2022-01-18,0.36481451988220215,0.3523515462875366,0.2828339636325836
2022-01-19,0.38888177275657654,0.36877039074897766,0.24234789609909058
2022-01-20,0.3990820348262787,0.366139680147171,0.2347782999277115
2022-01-21,0.4058324992656708,0.3599465489387512,0.23422099649906158
2022-01-24,0.42160242795944214,0.34472665190696716,0.23367097973823547
2022-01-25,0.43449467420578003,0.3332492709159851,0.23225601017475128
2022-01-26,0.41999348998069763,0.3461231589317322,0.2338833063840866
2022-01-27,0.40600672364234924,0.35655179619789124,0.2374415248632431
2022-01-28,0.4090416133403778,0.35423070192337036,0.23672765493392944
2022-01-31,0.3903812766075134,0.34665995836257935,0.2629587948322296
2022-02-01,0.31344422698020935,0.3384925127029419,0.34806331992149353
2022-02-02,0.32752329111099243,0.32113412022590637,0.35134249925613403
2022-02-03,0.31164810061454773,0.31747305393218994,0.3708788752555847
2022-02-04,0.3260340690612793,0.3271801471710205,0.3467858135700226
2022-02-07,0.34048816561698914,0.32132086157798767,0.3381910026073456
2022-02-08,0.3371482193470001,0.3211153745651245,0.34173643589019775
2022-02-09,0.30457717180252075,0.28582537174224854,0.4095974862575531
2022-02-10,0.2865786850452423,0.2526368200778961,0.4607844352722168
2022-02-11,0.296930193901062,0.2701231837272644,0.43294668197631836
2022-02-14,0.32214292883872986,0.33082687854766846,0.3470301628112793
2022-02-15,0.33697786927223206,0.34666943550109863,0.31635263562202454
2022-02-16,0.30255836248397827,0.26631900668144226,0.4311225712299347
2022-02-17,0.2960468530654907,0.2607317864894867,0.44322144985198975
2022-02-18,0.30809280276298523,0.3280477821826935,0.3638593852519989
2022-02-22,0.3381754755973816,0.30940935015678406,0.35241517424583435
2022-02-23,0.40031298995018005,0.29322147369384766,0.3064655065536499
2022-02-24,0.41335171461105347,0.3014254868030548,0.2852227985858917
2022-02-25,0.4680491089820862,0.2813480496406555,0.2506028413772583
2022-02-28,0.40384241938591003,0.305459201335907,0.2906983196735382
2022-03-01,0.37353599071502686,0.3020407557487488,0.32442328333854675
2022-03-02,0.3742038309574127,0.3026158809661865,0.32318028807640076
2022-03-03,0.35796862840652466,0.3334178030490875,0.3086135685443878
2022-03-04,0.33981916308403015,0.32463330030441284,0.33554747700691223
2022-03-07,0.3975187838077545,0.3462783992290497,0.2562028169631958
2022-03-08,0.4004979133605957,0.35790592432022095,0.24159620702266693
2022-03-09,0.39448732137680054,0.36664727330207825,0.23886533081531525
2022-03-10,0.4128774106502533,0.3394436836242676,0.24767890572547913
2022-03-11,0.4165509045124054,0.3463228642940521,0.23712627589702606
2022-03-14,0.42254364490509033,0.3419174253940582,0.23553891479969025
2022-03-15,0.4440198838710785,0.32096344232559204,0.2350166141986847
2022-03-16,0.517771303653717,0.23468881845474243,0.24753987789154053
2022-03-17,0.5179980397224426,0.22822898626327515,0.2537729740142822
2022-03-18,0.47444841265678406,0.245663121342659,0.27988848090171814
