date,AAPL,JPM,XOM
2022-01-03,0.3333333333333333,0.3333333333333333,0.3333333333333333
2022-01-04,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-05,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-06,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-07,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-10,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-11,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-12,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-13,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-14,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-18,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-19,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-20,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-21,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-24,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-25,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-26,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-27,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-28,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-01-31,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-02-01,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-02-02,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-02-03,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-02-04,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-02-07,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-02-08,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-02-09,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-02-10,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-02-11,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-02-14,0.5761162042617798,0.21194204688072205,0.21194171905517578
2022-02-15,0.5601609945297241,0.22466608881950378,0.21517285704612732
2022-02-16,0.5761030912399292,0.21195189654827118,0.21194502711296082
2022-02-17,0.5760982036590576,0.21195609867572784,0.21194560825824738
2022-02-18,0.5718488693237305,0.21531514823436737,0.21283598244190216
2022-02-22,0.44399845600128174,0.3232603967189789,0.2327411025762558
2022-02-23,0.576050877571106,0.21199071407318115,0.2119583785533905
2022-02-24,0.5761157274246216,0.2119418978691101,0.21194244921207428
2022-02-25,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-02-28,0.5733010172843933,0.2140083909034729,0.2126905620098114
2022-03-01,0.5761168599128723,0.21194155514240265,0.21194158494472504
2022-03-02,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-03,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-04,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-07,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-08,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-09,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-10,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-11,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-14,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-15,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-16,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-17,0.5761094689369202,0.2119431048631668,0.21194739639759064
2022-03-18,0.5641496777534485,0.21446406841278076,0.22138625383377075
2022-03-21,0.5448653697967529,0.22633911669254303,0.22879557311534882
2022-03-22,0.2357349991798401,0.545717716217041,0.2185472995042801
2022-03-23,0.5741667747497559,0.21343949437141418,0.21239374577999115
2022-03-24,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-25,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-28,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-29,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-30,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-03-31,0.5761169195175171,0.21194155514240265,0.21194155514240265
2022-04-01,0.5761166214942932,0.21194162964820862,0.21194177865982056
2022-04-04,0.5761118531227112,0.21194303035736084,0.21194516122341156
2022-04-05,0.5761137008666992,0.21194247901439667,0.2119438648223877
2022-04-06,0.576116681098938,0.21194159984588623,0.21194174885749817
2022-04-07,0.5757827758789062,0.21206767857074738,0.2121495008468628
