model,reward_type,initial_portfolio_value,final_portfolio_value,total_return,sharpe,num_steps
exp3,portfolio_return,100000.0,170451.51037220508,0.704515103722051,1.0289077462298692,500
policy_gradient,portfolio_return,100000.0,123063.72537760103,0.2306372537760104,0.5760624339057028,500
